hash,diemqt
5eecd9dc3fe216cd45a2194e5f1a1d472a3fec56,8.2
951b5bb9ecd6593cecd2bd72fdf62a0785bd3b3b,7.69
2a9497dcb278dde20143d0cb9a57e5cdf3763a8e,9.41
6aea2ab4cff49df8f384b81558264c1390a8cf06,7.24
d2ef78c03149ddfd267005d0dcd248adcc227e02,7.31
6199c36a1e584c7a1d0d4d20a1d98f19f9d05785,9.4
c13d9b5245d8fc600da9390192908048857599ea,9.59
2bae7a494d77c9c7cc0ccdc65a1915d25e31d2d5,9.64
eda32ee9ebe79ae7f85927db19cadc6199752dfd,9.11
33ead7fc0a3cd59c67bb412d705c5f5b9cedccfe,9.16
14a493d035053a109eeeeb50a501d2b69a8ec429,8.87
f42621bb38f167d2de3d662cbe897f5fd1234aa3,7.55
da37e77368c2bd5a7a9792749fd6ed83e05e2515,6.55
6cd8d19ff2089fdfa9cdcd521a40b1e247c17cd1,9.45
c846650d2b1b4a07f67e13c5aa56c15185f81f15,9.53
02f8a629f1a01a476de3944da2860d1c107f1b28,6.72
263d37689dbb1044d8118782303415a1eac550df,7.37
1fde2156c0969b0aebe55ebab7ad14f529a492cf,9.36
75b4f05700440a54255124cf44b8ca0d4252df85,9.82
6405b9839b0179e5307afdb5117992033c2a9cbd,9.14
6f5b8f8813e31d5f85f814585ee37e835a6c766b,8.95
67d64015616b9e7f49e213890b7b93a2f8796f07,8.39
2572a6a2ba5183ab68c3da80b69071a6a05c3b84,7.8
4df0acd4131767bb6aec6c0eba0deedb4c246125,9.25
41834c311cf35264cb9e6357eae499b95edb73b5,9.04
ad77e6368d86e38cbf14a33770ca16b204522863,9.24
f4d9301713b16c13c174f19e18d0200175494a79,8.79
bf22fb15bf51bc4bcf3d50f7494caad62a596d0e,9.06
c0c13857d74703fa66da743d1d670bc2b9957f7b,9.17
0c67423aa82630d4406e9477bb7462db4df09c4d,9.03
3b24016cbab8b8632a54240fed0a17406b35bc65,9.31
6941ef044510999dfc8a269ea9255f7b93505147,9.96
ff12d6e2ab80696ed8e22fbe5497e96c68d29076,7.58
40291da6897472b56a7ce6a0721a801b5014d3c7,7.13
c28a837bbc21a0b6ea686c34b12a7e6badbc9140,6.87
37593f2cd1d978efb79e32ed6981b74ad8523ebd,9.45
816dc441871b06aa3616402b7d2635c5b77f3d8f,9.27
77051baba74aab402905de65e8e0bf18e2907ca8,9.02
29a9c1bfe53383e21dc534379f5fd64c4efd4305,8.64
616bff7fefe77a5e5618f600b39cc1002b71867c,9.35
eaffaa19471bbf9bba8fa5808dd0904474089ae7,8.94
b3f68ef83acd623f98f4a03fc633905fb2a5b027,8.95
9e0457ac0f2824c5e725d83bdeee91ed078343b4,8.87
12aa60fde9ce650c25faf60398d3c071cb80c1b4,8.72
5d7aa061832e40bec792c52ef42de898a5045a1b,9.15
8554d1155712da4bc72ec5921db3227311265359,9.19
e621f4d6991a537e4508648aa4c3fc278091ec1d,7.43
0577e3c1b0a6df46c7fef07f400b42811cc77250,9.45
b041f9ef5ab6da232256530cf8e22c31ac99971d,7.65
76f5d35cd62f4c2d48632c8b82a04bed0e161226,9.65
1f15254ccdc062083c8f4e02523e18c2384dc6e1,9.09
7855b4de6d964e1f7477a3a40d384de9f4602f49,7.65
3015441ae521554bb4d04b1e3bad620170a43d79,9.2
7dc6bcdd4ba4cc84cdbf70b50cb26a72cec3db1e,7.61
692e3639f044b1dedc30d8b3a870bbe922a675fb,9.15
8b158f3040b574b6d08148e24946fba8bbdc29ca,9.3
4203f7e50c4e403622aeb1b6d39ca45285510aa8,9.27
629ae2687f58e75ac2bebadf8adb71b3fdbd7c11,8.42
4e895c502e5446c21dfe7fd758e1336d2e66ace1,7.8
ba0b274a12a5891f98da7f012d4c757aeb822917,9.1
04d32bf7b10a238244d3e1acc3bcf53a449daf99,7.41
5c8d3dd9026554402b67ab061544d47532898f6f,9.46
ba37558e4c84bdb5486d1b3622b0ac7ed3d5222d,9.15
a1b60c404f7df8f6f2695982048cac298567b821,9.04
bdcfd5ee015db872058dc442ab9d3c72518366ff,7.79
d982afe8253215b9a75464a85bb061d5d5f7975a,9.05
47d128f1f6010bd042dda2bcc68d710956fdb74f,9.38
ffe872165621d735a48bb5db0c71dd5195cba359,9.51
51501acd2a7cda8d6f25524e34d6e3dd3c6088ee,9.49
5a855637085d9d212518c84446e98888f0667f2e,9.15
851d9a4b9b8e236f2d62282ddf06fae57b7d9492,6.38
3cde31c0a8378da5d6c2767652ec108deb9135a6,9.66
ebe0702c8a0d906044fbc61cf18d3f8dc9aacef9,7.82
b25340984452108c2928e20f412866a7dbf4646c,9.42
95c2c72faa0bcedf9452be96511b7ab488754e77,7.85
11f61032ed64123d44a372930101fd5f3877e010,7.55
920523a6f06947927c3d1b9c2c902fae6eb740a1,9.29
5a3141c7f984f3d6c41f632f6fb689378267bd51,9.26
d8ad4586476ab6240c0ec83f3c12cd4cc7a8f622,9.22
6501a3dcdb9e3c5904a5820607f6ee354bbe0131,7.68
c3127c3c92a3d510a78a5248b4e7fac50ab81e0b,7.37
cb7cbbf59876001661704aca5fa8d70467f514a6,9.95
df15664e980175f8ee9ea6687b81c59f3139406f,8.25
bbb7c8095658b847103c47aa2a4b55440b0e9ffe,8.1
128ed4bebb12d030efad936db13d26a620bd620a,8.4
74381df8a16f12280ebd12d45f8fff4fbcbcc4c8,7.31
ef02ce9a2a904477907fe9135cdcbf1652180d31,7.52
d4ca57e34b4e28a3a0c73339e0c72db036894d3a,7.65
8674a295a4ae610ccd77b60cbaa692db6a875761,9.41
2290b12e40983b7635bc452c3b6e00c80549220a,7.53
34f6fd0da81e68652a26b633fcb7d4d4169e2e75,9.24
0de8af23bfda13f21ed67e41a5aace53ff8aef99,9.47
b4742d304d9cd4891aac3cedf5905676e9fcc9d5,9.47
9cf5d1c0d7ddfd6b78c222e83894ca3a75ee47f2,9.52
c001ef5d0a98bae288e504e13db2f1d4533021f5,7.97
073de6e606b6b7f3f44a8e8301ee87c3c978a2e2,9.14
d8cb6954aff8cc17b05a205c949f36b46493eb8b,7.66
c41c79391cd0c8816cebc9a0b4ef1fcc5c2e4018,9.06
299ff5851760da9a9d8b8f218dc82b573a397d51,7.82
016f87a7bd87f233a8633fba8a1ca7ef5c3c63c1,9.06
abae080e558fbbcf25131d47ef3dbea697548f14,9.33
10253729dc5e3b0b2d3dddc37638199910394daf,9.3
cdea6ad7a63edbcba925717a8c64328c255a0450,9.23
502b640d7a4830b10924009c39b4dd34a4c600cb,9.2
21a401ad12c3345ca4c3210d5d3c69db10526b98,7.7
334f25ceeca6e440b1210f205c253cdc8d25942e,8.72
2ad77f650b2381bbdcc0011fe5d9bcffcb109831,8.93
20efb5f5c748870210f094db59aa50c4360d32cc,9.23
892240639d1170ec0f4bb6248ba3e9bd390ed089,8.96
d73a15bdcce722312152f547cec67e8dd584a6a8,7.37
57b547211651511366a63249605b9b9f4a9c3e9c,9.14
844f5db2e7e31ae51eba025480679ed7e4708ac6,7.86
baa9b5294556d31b066df7e0dd8b1b0b1a8bb9f2,9.29
5eebebef2194643799de3dbdbb098cffa856d37d,9.29
a76e1891c401fc5f73f6942768488b1487533472,9.16
edc641c842df448a70ce315e00b6dd4461a260a9,9.3
05ed34d40112c0d0c446cb9c00fa6e14851a7aa1,7.27
a74f9942a4bf89bc51a259bdd7f5427f1ccc82f8,9.34
f90fb4df43d85aad3ae9602aea19fdb4f47de984,6.72
3841fabcde0188d8dc9b3060cacffafa3450ec85,7.93
440a4bdda60ec044e91b9e5ee5c478c20bbbaf7e,7.32
c3e73d0362e2b21fae6edfcf518063e8a28b7b63,8.43
27d6037b0e6ff9972c80bf6192062f3f2e8b076f,9.17
4d3eb0a9c08fa8d2fb11d00af22f7d582f106019,9.14
7953012ece7e7f5c184ec3ce99de925dc01c46ef,8.99
e8335df6f0ac481c6ac16096889c51cb95ab2f6c,9.23
7121c17a0f6576cafa8c7c029158ad3a81873411,8.63
76a99a326da360af0510be654283819bb4717d9a,9.61
d4a5c57c98a9d8e16b1dd93042d22cc422772b0d,7.54
5e030103a9bd01aba1285730aa1bce7cc90f7bf4,8.14
d6f54f87ad964bd1cea20ffceea962f8b6236da3,9.09
6a535ac087403316d625c2ed4d5108d7d2d21edb,9.47
05218d5a6d67f5c1d6305dffb907e940260304c1,9.07
d11774bd10cd517b1cde216ca391e76efaf59b44,8.9
e7cef9ca74dbf2dc906e3216004a1b5e6a96e241,7.02
08399013cfa671c37b50b71ef25f1b2fd606c009,9.29
8ee958ba68793684a9962e1b60847d7b73d7c9d1,7.77
3dd2f099bd4cba1acad185a78c773972d450a899,9.12
69c377ef0f1c724f59024bd4c2a7fa5d36e50432,8.69
c162ce77f4002856b569f63b1e2b58ccd6d961e2,9.46
3a1431fdc38caa2d40fdd0df60f76683af53a729,9.55
7b3d30b5f05d1acd3bd4979bd8e18efaafdcbc62,6.65
7f2bf222342aac2992fe15f12039b9f7123524c6,9.44
fc83d8b4ec86934a2daa128311afedeb0ca5fd50,9.56
13b9e4710dc86e953960ebd2fbae7721d24fdc2a,9.2
195aa2f618f1001a6ca4da0300dd8bb798013a73,8.85
759ad13a7de3fc28a9ab95c56d2845442528e907,7.45
8866a6da23ad8a2abfb243905e0b5e2c98e366bc,9.1
1c095c774d9d1d3a4ddcf533186e7146fdbf92a7,7.65
f2c6f4d1250f2570b4dc5edfa7d0952ec4b7194f,7.66
2a8f1b3e408879bc12a312938c32061d9e29a4e9,9.24
ad57f4feb3cdcdfbb77d4ccd074d9ca50227661d,9.12
f91b376092344f19705df8873d25aa4a34bafce6,8.57
bdefe60060197430834e27ee0ecc1d775f5e2b89,9.18
60c257442a0ef9aa6eb039f58c40be980bfe58b7,9.0
6dda317baa40f25506c299715efce489b916e52d,7.52
ef070fa973803bec505aeb6230acdd7a917e2a59,7.2
495933d0ca16d77c1ef1587e29f5477513109a5c,9.12
c5d903eea354607809419b5e23c869ea16626a59,7.89
32b47658ae606bb95f1bbf1e1dc86accc255e926,9.34
92f51b59f25a16e76b18441fbe797a2fa2a5d3b5,9.03
6fa8cdf96032a061ee3b601ee76a28dce25f4735,7.5
c67df30ae6cf151f19df3e36d15f0361619ed47a,9.12
e1d3226bcfad8043e69d31f3d76e719c7f041d3e,9.09
4e662a9d37f64c95e5cd3e85d2d5f0d5be60d20b,9.17
db7c4fbff4eaf7b21678b8b053a0c3dcd74dd2b1,9.2
d1e238d8cc58ceae3359c94b2a4a976a975fc9ac,7.75
357ec20d8f9f416f9b02b0f54a81d3f409d074e9,9.31
c484db51bb8e5e6218578a71ca541b135c2aa1ff,9.42
3bdad6ba65de3948b9939ebd98d80b03fe3f8e93,7.65
34a187324e5c8bb2723a6f51a038acfef94a7538,9.2
0b18b1d653e0d031e1aee9129432b668c4264d3f,9.01
0659d0431565eaacdc601973560ee8331f910947,9.19
35cc3e4b8108e6eb405c96afabb167d6c0f9b50c,9.05
2fa2244e6e21b8799c5210d92f8966838a43783e,9.05
8b557374000feae5ac9aee7b4078bfea53176ffc,7.18
536602cb1404169f62436284f9cdba1a7b21c7ae,9.05
9a6d7a470aab3fb51ab58261637c58c239ad804f,7.06
73351e7d3ace1ea88b52e895d6fccc2f2bee88f3,7.07
d68718e7e9140ca136bf5e39efd7c122632ebba2,7.99
4e8a3d6c3bb0e0df7e39e93b9266737cda041fed,8.86
91ccfc470d803af51ecbb91da39db5592e3a3324,7.66
4e1cce9ed2c3033338382d755820b85faec9a7b3,9.06
1fec28e4753dac81fb5354793029a3a2f81c7b7a,8.83
1cb262ad711450f9a6a0f5cf786788b17d2d481a,7.02
e25991f3bf474e9b542b09aef2407a78f3ffc61d,8.3
b0f303b4bc78b12a467c465db3b050425eadbf64,7.06
835496e3328ccd7ac2ffed3867840e1dce5da83f,7.89
9db80a153d642e12571588fd68473c6e307195df,9.1
52f3954a2463ca97c884b6ad6d89f8fcc91696b0,9.36
40db6a6bd27b7f2fccb0ab0e4b97b2e64d5e79a2,2.81
ba12c0a2cb367af0467e479c03507c71a805d291,9.15
47e01709f5df0b8793de34e70e8ddd9f8aa16d60,8.87
213a48a8028d2dd6ed42c47be4588ac5a909076b,7.78
a3c251eb71ac7769282f383672f19d3cf66f1b04,9.24
2ebc44186d8093752e9c9ad97b67114006718300,8.9
b8b78832d415b2137aaa400ec638ca3828510a71,7.17
530d2bc8c65a9815a0b2c7dcfc98866f760b433c,7.45
ddc549a4ced606b9181bc2e6e0bb75824fc20f70,9.33
c2660985c0dbf52fe68f7d3620fffa6ff8f2794f,6.71
2b1f3237bb60db7f72540e004a1596c7ff3fd549,9.2
28a125bc7a4d79ba10eeb2abdaa878d46eea4b32,7.57
14e9c7d5220ae70aadd1e37038e74bba41439d65,6.33
ce3ad9b28ad26a494e6a196c110ca405402f3e9b,7.58
0f0664021ebbec70b1d3bb5a5419e22507179671,7.52
a99c3a5ba8f7e25ea61f79dd74cb89d6d8bf8a43,8.86
de163edff457321dc540b375c7b316c7f9fe73cf,8.9
eb83b2280e41f55da33ed81e62d7b8ebba9a93f8,8.89
a9da415ddd0567c5995957b2239621158a4521f1,8.96
f3a7769633f8060ffee4a0295c55ec9be084e3c0,9.17
0e51dc16b3d9de6cbcada8abb58ddeddb448b6e8,9.16
1ae3ba4f07f87302215a9b35d195bfbeef187ebc,9.05
62cba18268cc16143359b59ebc94adf65af340a4,8.93
ac6522ed2e2b8a808bb80970ccffcb6572183349,8.99
2f7ef2d7fa25c0f8d9de0a5ca7301041b9d08e4d,9.44
2639449829463fd12c2b9ba6fb9ea1c56e94385f,9.16
98903e3bc03971360097ad809526370f701ef5f7,9.2
1d9024c71085dc3822bac092baef8b238c3b497f,7.1
21661552706810e470f97f098927a2b89d9b9eaa,7.06
23d64bbdd55f11cb1d617be60d7b5901c5fda2e6,6.37
6154c47df672f6768571f878e472ff2808274cda,8.84
22deb5e56e580b0b0353f10e076cad95a3b8e631,9.73
34b6d0f0fe1617146945db60df615d0d9bb3a4d1,9.57
081f6737145108d2cfb3e432f03d59670bae3ded,7.16
7277ea28c0232720e23ee3ba0dcbb84a273aa53c,9.41
5832a6cbeea8c9e6efb82a284e135cc58f201920,9.32
aa2ad4e1f1035826e6351e1e801eb57c0b494267,7.39
eee2c3c453eb64f9c327f09e83be35ef36528101,8.85
dbb0e3f3c32292438fbd39684d9f1ad153bba64a,7.48
948fbf59cd52083820e8e1682a5bc2a34793997a,9.69
58a95bac37747ee4fd0e321770a89477f49492a3,9.52
d0d3472fa981f90d8e6d036dea4bb627c73b6592,7.16
6cbee42bf7c6251711a38683e4e1d6b15533f5a5,7.39
3e72f16a86233e81ccc2c9831c0297da6cca36e6,7.32
17b62f15056932dddf225da7f5e30911e316f7ed,9.09
4058bd26eee2f8affafaefd2b59b97c358e826cc,7.3
13293554378a8a5f29de5440ab1c49003af0214a,9.29
825e4001677d8644d6df773aea2f924c45d47318,9.13
ea55b410ce0e38664c6597e4bfa09fce84399461,8.45
141e7bebd6db0745569c97910301a67c9962826e,9.28
dc87f8c4ae8953d2d0bcaf1a08239547d77cdee8,9.01
62bc28e18de640d9831303f80a4e44c352fb6170,9.46
771f7a4ff0b16239a5f4a828485e057bd3069308,7.32
8b3f8cb80815c489e6278cfc1a371b3bee3f6e1e,9.08
5a7424ce2a160cc7bcb097b51942e1e1ce68ddb1,6.98
edcb11b4746d7b8056929a37a11e81b0fe3202c9,9.04
469c5d7634f0e3277f7bc8edfb3d9eb291fc6199,9.37
5faefa46d05d32e90b97c1cc9260bacd6c2f45de,9.09
92828f67b16f5e96ddb0d436aaa6f1193104c037,7.67
7e585ba8095284ba4d7f920b37ee3e76ab6caa4c,4.38
db4c010c135d84c00fee816a085360bca2537594,9.15
cd1c8085cc77aaebd3c527b4ecae7e9150ce0d77,9.29
0341249377940c004d0823408ace7cddbddbc923,9.45
2e171212b96d4d95e0857baadfdc55455113dfc5,9.01
aafa3b985fc5f4f1f6dbe50b8edc01713225dd2d,8.9
dafd07b7aab7dad9894cee44cad55efc89255614,8.99
41438ca9420c379467e8ca3456fc003d76bc99e2,9.15
bb603e54f5809d802fec4c70df7b2c29a5125a89,7.6
8b2735093e532de21b7aabee43b9c76278bdd5cb,7.1
10e3359db56b99eb2f621d7c875f3c26cdd01a64,9.14
70cd793e026c0616c0a8186a1f2c5fa6d8816b49,9.03
6b1996be827950638657d6f5a23f4ab8a5a13be5,8.76
28b6c6604b111cc912e369256cac2bf944041a2c,9.23
1d1a20a6ce616a1b0780f5c86f1f6cf9f7c9a5ff,8.9
a6f3201e19df0a0fdf0a3d878d6a8d2e50eefc70,8.75
f01bb96987327c1dfec6ddbc980cfd85650f20d6,9.17
be7b5a55c3a0343bda6a2a6ad09c5cfe8714b27f,9.11
a22a58c5be8aa2c2700619e37f2b7a6e4efa7e6b,8.84
8cf96ad1e77c722694ef03a06a781d61d632f2c0,9.1
bc8caaa2729aa0c9179e8d66388586a4a8586f20,9.71
9aace874af47927645c48f21ffeb82f8e15f24e1,9.36
9cb2a2853cd6c58a9b7d07a87ef3138c3cf723b8,7.37
dcf7777f614c11ed45f8ff82f2c44d7dd15889af,7.77
77f0f8d9b0f3d59cd0bb01ae985a5ada6fc14dc1,9.62
b2c520e7e4ea03898e0b8204fea068149d5535c8,6.81
127974170c7fb2e3945a3c5b666bb7f6dadc87ad,9.14
3949c822529f6d98d518b762c7b49b030685ddda,6.02
73ffb966a8305f3cc46f3447459b4224128cd53b,8.96
dc5325f05ad384cacb2431acfa1f398913151afb,6.76
16a221ec975ec0eb2fcf4acd69fe87281d585ca7,8.59
d0f28e44db91cce7caff1db428643300dfb3392f,7.86
baf05c058d7a427783ab9bde33f38d55ae8ac0cb,8.97
5ca41a01a0d23780fcc2f122f7303701eb991a4e,7.99
5217ebf6230ffeecc7da9c9043cd1e484c78509b,9.03
c9c9df2ea1ddcc10cc57d4e1d92b2f8b33d94538,6.79
4d38a6fd027c342a0719d9e7d0f6bd3e820a238a,8.68
1a4b69992c879b4e5f64e848ffdddc2f2f401e44,8.87
4f12a32bbef137a864b199061b62d35b4002e6bd,9.13
934776ec5bd2147907362602555bd692fc56aab9,9.17
5a70a8f9f1dac45c7332db8230f0a8a77208507b,9.16
251d2672c6ecd01a83e6fa19483d8e57ef5f45a5,9.11
6c468e0d90bf790fd74609738544edd3f0e5c74c,8.99
e07c3edba3602b0d172c2db763539dfa9819027c,9.33
962de82430c78164a7c1cceffdfe31dd0f3c3cd3,9.19
81f9930593d1612075b0a4831e1219e9ebbe5aac,8.9
d11e42daac68288eea95d8923771a326e667b520,9.1
643e211337d8d4a3d2c12ab4ba804814dd977354,9.03
063c339a318b967ec77cd523f9ae4c62a7afa083,7.0
501f6ef9ac0e3eaee34c2357da968672bafbff95,8.63
8aea6c59a11267f4143312770b4c84a2be56f353,9.01
374725662b17c0d200a5d372579406bb4d830bb5,6.9
911f5eafac3def56e71836d495b740cd059edbcf,8.75
363f5d64f8c70c78376d1b5f9485511daa5a9d8c,6.53
a5aef107fcfe6b7323ead96aed8ef74a69efe042,9.14
943f8910b7d79d76726a7c50a996a39a00fb033b,8.34
454c509567c0f19453009731315e3db245a8c756,9.08
dea33f83f3cd94f54f1063a0cd22eab07ec8d3cd,9.34
1f88d783ff0c3a19a1d34b4e45d71b4f9b14b976,9.16
eb451c65ea210bed6af798282c2c6205c79f71fd,7.31
2003e05bf78d3b5b7f672aa1d02ae3aa0537706b,7.64
b392a38d92631885c3b63500548976ac63518da7,8.31
d7a319cabc8e30b748e2beca44fc575fc83197d3,8.51
06b43a9d40f16603a72a6333318a5086b7bb7e12,9.17
33c9e776300c7de11e0736b069b8e5042372d418,9.33
8fdb7157f90753735edf97fcc828b75e6a8042d6,9.18
87322721181928972ce2b67242f61ff23275f3dd,8.9
63de421fb8d11a118ae783980d2e204b71e4f2d9,9.18
5e5064a233c1402d302af4de9a442f32c934da4f,7.24
391d18cff3df066db6fcc8dad718d325607e5493,9.3
8ef999ab1a83c2760064ac6c7a4b6c4115c5a186,9.82
a05ee87ddc674ddf01518fe125eaeec0820ea53e,8.79
ca3bb5c80bd96ba545e0a42232c6fcdb55f7106a,8.64
25501bb976f5234f69a8cb767dc5b4ab87a9021e,8.61
3c499f0944773b5ae529a4356d92df5ce8ca7c0c,8.82
0297fd76b36e100882756e636bb03031255f57da,8.73
f408354e704d901dac2f283fc8242d2787ee4813,9.06
e2670654203c6b5aa850edf95ea9e293939963fd,8.97
ca01f93cb3384006f7af5de96bc25f924ad8bd14,8.79
334c7722802329509bf82a5cd7b4a38b5825cc42,6.96
9981528e7324f2d92c27f163b5d0424a07f94b67,9.01
01ad03ec301749c033155fc17e657cc767d447c8,6.82
dd98462b95687767f50edcdc4758ff5237c0bcff,9.55
d06025e3b7e91bb8718335f7328466206060faee,7.15
60559a031815bb92037cb31299fdb443227a4e06,10.09
3d8d3a121d5e9126056c0676ac7ad2661696a572,7.38
4cd092562ee4a06eb01e8bd1e9cb7e169fc38c92,9.61
c0d3079f5b83f8962c439707b96c7ee43be2ca18,8.53
917f1aba835e5d7e79fc124c1d7a3c8c2588cf8b,8.86
7f5f84b208b2889ece946b277eaca95d838072bd,9.33
9a31bbe1021725b074357ae4668bed6eb7e46bc1,7.91
c2da78b847fbfac6920b3c5a2086c79b3a2db8f7,9.4
42510054a233b7b56beccee99fdd4543c3cff388,7.54
f6f5b15522aa9457158ec6d7a16caaacd6cbee42,8.41
e63a9cdc387a31ea563ecc24b20eb824a8c54ebb,9.82
f3d6d22e76fc586bffc4f5ac1d73f096f03efa0f,9.19
80a1456c85989c36b524eb16f1afdfa2c5480121,9.34
2d450fbabcb95dad1b49ce3a6c70ee6fd9ed6c68,9.2
ac164aef8492a4d178d0704b602f0522512dd913,9.07
7985b1dc9dd0dab814afa417245073d1d74f85ea,9.23
80dd54e80df2e8833ebb3927fd55a514dcfe637d,7.76
42fedf0a6f68d54738709e096f9352ccb17dc072,9.02
3a27f4f6ce9cc005a8f1a5f7441d26db75c9cd2c,9.48
598ab55ef7a383e76268b59d877afbc86fff2178,6.96
1db8dc5d1005cd6d742fd9bfba759aeb2babab66,7.28
6ec34c1674a54a0b43f8bc4570e2188a4937da15,9.27
442024511cb1c5761a86578910e28f236daceb2e,8.97
ab2a1e43f425b67817553405c41c09a9bcb0e9c4,9.05
3ee8b93a31b564cdb14f3d62f08dd862461e0918,8.94
28a0f5e69c747c78015cf8fb0eac804b9a733bb2,9.03
fef4a3263ed9a8ab14d457694bb8fd86ccd98312,9.45
dfc34f90e58f60b101c824e10d74b8ad0c46a2cf,8.9
139aa923bf965f373c678ba8c10f500d78269e20,9.36
024af5e4f76c23e7f08616c60e595453e538a1ba,9.15
bc1f0dc5b937d54fa64e44c1e4e0de0e5a4724c1,8.86
f92e3ec921384713419dca56d1fe2be1d51f1b54,8.81
3399fb9cc4f115ff1d6a41cf169d8ebd200c3418,9.22
9bc8e6286b7a331de79c4c4e868b806c0b3bb12a,7.41
5b30abfc32d4c33257f7cd949641935527dd4a42,7.02
aa1696aba3e93761b292c97c68bb0e06bb2f537d,9.07
00bef8afee8f3c595d535c9c03c490cac1a4f021,8.71
58dfdda4538b55efcc287512b508d9fa2638028d,6.77
60cfc94f336b294be80a5215fcd8f9a8099011a2,6.22
2cc30f03509be89ad3bfd483b2bd69c999798805,8.65
8c6976c873d2ab3f4af9188a4189c46a032a53d5,8.83
add17ba1901ea9804a604aeed6ebe191d784785d,8.16
8e20affd5aca29391f582b7dd756c83205297c11,9.14
2bfadd9c6a7bdbdd1ae792e0225b799ee67453a5,7.09
cfe62afe7795494a49cfaa46bdf17c38a3c0d284,7.4
5087b52a3ea36e6b24f13b867546d94cac05b299,6.78
cc431fffd568a0d46d302233b4d71bd216fa94f3,6.29
165e4e596c3bdade64bf0bd2491fa8234015f0d2,7.32
8960e95f79cd20b46b7e8fd09d0aa88015566a9a,8.57
7323f16fa1027607f3f63cedb1cf2fea83dfcf76,8.97
72ebebdb431cf5dbd216ed0c16660f40a963b082,9.23
d20b8e96e5c520827768fe614961d0534c6f2680,8.85
5b7541b552024e94b0be876cdb63b69cf3f829d1,7.71
57a3b9aacc40db600c87c8b2cf110418021388d1,7.59
5e854d8ecfe5f767abb76d3ce56b6bcf495047eb,8.73
1e87dd3db07a664f4eb34b7e0a3ac578ca8846f9,7.15
d6515d627895751c832a3075053719da2f5e6cef,7.15
df17da01944f34b2a6b59e8d45407c1297f9834a,8.99
d7af1840c8914a381ffae4617c33ab76833d9513,8.77
cff1765d7a97d3f012a354586ccfd49fdaf6aa44,9.17
505fea7b24ccbd0e28b51099a1e89ee317605916,9.61
5e6c70b4de90c2415359c22c351d8b827d22886c,7.61
247df99ea72a42d6c12d6bd7b58ca0b2e163182e,9.13
9272bf390ef4a8e31a5285c14ec721495414c53a,6.2
8319f9e5000e715c176f1de5d0e33da0b25481f3,6.21
cb713a14e9dcf23999265a8826e204beb646626b,5.31
d66c55f4502b462e88d4529dd6b4d167fd42d165,9.3
